sample	genotype	stage
WT1a_S1	WT	EV
WT1b_S2	WT	LV
WT2a_S3	WT	EV
WT2b_S4	WT	LV
WT3a_S5	WT	EV
WT3b_S6	WT	LV
WT4a_S7	WT	EV
WT4b_S8	WT	LV
WT5a_S9	KO	EV
WT5b_S10	KO	LV
WT6a_S11	WT	EV
WT6b_S12	WT	LV
WT7a_S13	WT	EV
WT7b_S14	WT	LV
WT8a_S15	WT	EV
WT8b_S16	WT	LV
WT9a_S17	WT	EV
WT9b_S18	WT	LV
WT10a_S19	WT	EV
WT10b_S20	WT	LV
MUT1a_S21	KO	EV
MUT1b_S22	KO	LV
MUT2a_S23	KO	EV
MUT3b_S24	KO	LV
MUT4a_S25	KO	EV
MUT4b_S26	KO	LV
MUT5a_S27	KO	EV
MUT5b_S28	KO	LV
MUT6a_S29	KO	EV
MUT6b_S30	KO	LV
MUT7a_S31	KO	EV
MUT7b_S32	KO	LV
MUT8a_S33	KO	EV
MUT8b_S34	KO	LV
MUT9a_S35	KO	EV
MUT9b_S36	KO	LV
MUT10a_S37	KO	EV
MUT10b_S38	KO	LV
MUT11a_S39	KO	EV
MUT11b_S40	KO	LV
