Gene,Gene_name,Site,DeltaG
ENSORLG00000022471,NA,5p_7mer-m8_298_304,-13.70
ENSORLG00000022471,NA,5p_7mer-m8_3218_3224,-9.50
ENSORLG00000022471,NA,5p_6mer_1139_1144,-13.40
ENSORLG00000000991,vdac1,5p_8mer-1a_312_319,-9.70
ENSORLG00000000991,vdac1,5p_8mer-1a_144_151,-11.90
ENSORLG00000000991,vdac1,5p_7mer-1a_551_557,-11.60
ENSORLG00000000991,vdac1,5p_7mer-1a_383_389,-10.80
ENSORLG00000024729,NA,5p_7mer-1a_453_459,-12.70
ENSORLG00000024729,NA,5p_6mer_334_339,-7.10
ENSORLG00000006370,tead3b,5p_7mer-m8_991_997,-14.90
ENSORLG00000026596,NA,5p_8mer-1a_4008_4015,-10.50
ENSORLG00000026596,NA,5p_7mer-1a_3450_3456,-20.80
ENSORLG00000026596,NA,5p_7mer-1a_4297_4303,-8.50
ENSORLG00000026596,NA,5p_7mer-m8_632_638,-9.90
ENSORLG00000019685,CAPZA2,5p_8mer-1a_229_236,-11.60
ENSORLG00000010960,galnt2,5p_7mer-1a_1843_1849,-9.70
ENSORLG00000005995,sult1st6,5p_7mer-1a_3327_3333,-11.10
